Snap Date,Dep Date,Return Date,Dep time,Dep Time,Dep Duration,From,Back time,Back Comp,Stops,Back Duration,Back Arrival,Stops,Dep Airport,Back Airport,Price,Class
2025-03-04,2025-03-05,2025-03-06,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$148,Economy
2025-03-04,2025-03-05,2025-03-06,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,2:10 pm – 2:25 pm,Vueling,nonstop,1h 15m,ORY,LHR,$152,Economy
2025-03-04,2025-03-05,2025-03-06,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$148,Economy
2025-03-04,2025-03-05,2025-03-06,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$151,Economy
2025-03-04,2025-03-05,2025-03-06,7:05 am – 9:25 am,easyJet,nonstop,1h 20m,LTN,CDG,9:55 am – 10:15 am,easyJet,nonstop,1h 20m,CDG,LTN,$152,Economy
2025-03-04,2025-03-05,2025-03-06,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$153,Economy
2025-03-04,2025-03-05,2025-03-06,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,2:40 pm – 2:55 pm,easyJet,nonstop,1h 15m,CDG,LTN,$154,Economy
2025-03-04,2025-03-05,2025-03-06,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,5:40 pm – 5:45 pm,easyJet,nonstop,1h 05m,CDG,LGW,$155,Economy
2025-03-04,2025-03-05,2025-03-06,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,11:50 am – 12:05 pm,easyJet,nonstop,1h 15m,CDG,LTN,$159,Economy
2025-03-04,2025-03-05,2025-03-06,7:05 am – 9:25 am,easyJet,nonstop,1h 20m,LTN,CDG,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$160,Economy
2025-03-04,2025-03-05,2025-03-06,7:05 am – 9:25 am,easyJet,nonstop,1h 20m,LTN,CDG,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$160,Economy
2025-03-04,2025-03-05,2025-03-06,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$163,Economy
2025-03-04,2025-03-05,2025-03-06,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,6:15 pm – 6:20 pm,Vueling,nonstop,1h 05m,ORY,LGW,$163,Economy
2025-03-04,2025-03-05,2025-03-06,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,11:50 am – 12:05 pm,easyJet,nonstop,1h 15m,CDG,LTN,$164,Economy
2025-03-04,2025-03-05,2025-03-06,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,12:05 pm – 12:15 pm,Vueling,nonstop,1h 10m,ORY,LGW,$163,Economy
2025-03-04,2025-03-05,2025-03-06,7:05 am – 9:25 am,easyJet,nonstop,1h 20m,LTN,CDG,5:40 pm – 5:45 pm,easyJet,nonstop,1h 05m,CDG,LGW,$167,Economy
2025-03-04,2025-03-05,2025-03-06,7:05 am – 9:25 am,easyJet,nonstop,1h 20m,LTN,CDG,2:10 pm – 2:25 pm,Vueling,nonstop,1h 15m,ORY,LHR,$164,Economy
2025-03-04,2025-03-05,2025-03-06,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,2:40 pm – 2:55 pm,easyJet,nonstop,1h 15m,CDG,LTN,$170,Economy
2025-03-04,2025-03-05,2025-03-06,7:05 am – 9:25 am,easyJet,nonstop,1h 20m,LTN,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$175,Economy
2025-03-04,2025-03-05,2025-03-06,7:05 am – 9:25 am,easyJet,nonstop,1h 20m,LTN,CDG,12:05 pm – 12:15 pm,Vueling,nonstop,1h 10m,ORY,LGW,$175,Economy
2025-03-04,2025-03-05,2025-03-06,7:05 am – 9:25 am,easyJet,nonstop,1h 20m,LTN,CDG,2:40 pm – 2:55 pm,easyJet,nonstop,1h 15m,CDG,LTN,$171,Economy
2025-03-04,2025-03-05,2025-03-06,7:05 am – 9:25 am,easyJet,nonstop,1h 20m,LTN,CDG,11:50 am – 12:05 pm,easyJet,nonstop,1h 15m,CDG,LTN,$177,Economy
2025-03-04,2025-03-05,2025-03-06,7:55 am – 10:20 am,Vueling,nonstop,1h 25m,LGW,ORY,6:15 pm – 6:20 pm,Vueling,nonstop,1h 05m,ORY,LGW,$186,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,9:10 pm – 9:15 pm,easyJet,nonstop,1h 05m,CDG,LGW,$171,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,2:10 pm – 2:25 pm,Vueling,nonstop,1h 15m,ORY,LHR,$116,Economy
2025-03-04,2025-03-05,2025-03-06,7:55 am – 10:20 am,Vueling,nonstop,1h 25m,LGW,ORY,2:10 pm – 2:25 pm,Vueling,nonstop,1h 15m,ORY,LHR,$178,Economy
2025-03-04,2025-03-05,2025-03-06,7:55 am – 10:20 am,Vueling,nonstop,1h 25m,LGW,ORY,12:05 pm – 12:15 pm,Vueling,nonstop,1h 10m,ORY,LGW,$186,Economy
2025-03-04,2025-03-05,2025-03-06,6:40 pm – 9:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,9:25 pm – 9:40 pm,easyJet,nonstop,1h 15m,CDG,LTN,$168,Economy
2025-03-04,2025-03-05,2025-03-06,7:55 am – 10:20 am,Vueling,nonstop,1h 25m,LGW,ORY,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$202,Economy
2025-03-04,2025-03-05,2025-03-06,11:45 am – 2:05 pm,easyJet,nonstop,1h 20m,LTN,CDG,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$201,Economy
2025-03-04,2025-03-05,2025-03-06,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,9:10 pm – 9:15 pm,easyJet,nonstop,1h 05m,CDG,LGW,$187,Economy
2025-03-04,2025-03-05,2025-03-06,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,9:10 pm – 9:15 pm,easyJet,nonstop,1h 05m,CDG,LGW,$187,Economy
2025-03-04,2025-03-05,2025-03-06,11:45 am – 2:05 pm,easyJet,nonstop,1h 20m,LTN,CDG,9:55 am – 10:15 am,easyJet,nonstop,1h 20m,CDG,LTN,$193,Economy
2025-03-04,2025-03-05,2025-03-06,11:45 am – 2:05 pm,easyJet,nonstop,1h 20m,LTN,CDG,6:15 pm – 6:20 pm,Vueling,nonstop,1h 05m,ORY,LGW,$212,Economy
2025-03-04,2025-03-05,2025-03-06,1:50 pm – 4:05 pm,easyJet,nonstop,1h 15m,LGW,CDG,9:10 pm – 9:15 pm,easyJet,nonstop,1h 05m,CDG,LGW,$199,Economy
2025-03-04,2025-03-05,2025-03-06,3:15 pm – 5:45 pm,Vueling,nonstop,1h 30m,LHR,ORY,5:40 pm – 5:45 pm,easyJet,nonstop,1h 05m,CDG,LGW,$135,Economy
2025-03-04,2025-03-05,2025-03-06,11:45 am – 2:05 pm,easyJet,nonstop,1h 20m,LTN,CDG,5:40 pm – 5:45 pm,easyJet,nonstop,1h 05m,CDG,LGW,$215,Economy
2025-03-04,2025-03-05,2025-03-06,3:15 pm – 5:45 pm,Vueling,nonstop,1h 30m,LHR,ORY,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$128,Economy
2025-03-04,2025-03-05,2025-03-06,11:45 am – 2:05 pm,easyJet,nonstop,1h 20m,LTN,CDG,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$209,Economy
2025-03-04,2025-03-05,2025-03-06,3:15 pm – 5:45 pm,Vueling,nonstop,1h 30m,LHR,ORY,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$128,Economy
2025-03-04,2025-03-05,2025-03-06,4:45 pm – 7:05 pm,easyJet,nonstop,1h 20m,LGW,CDG,9:25 pm – 9:40 pm,easyJet,nonstop,1h 15m,CDG,LTN,$184,Economy
2025-03-04,2025-03-05,2025-03-06,11:45 am – 2:05 pm,easyJet,nonstop,1h 20m,LTN,CDG,2:10 pm – 2:25 pm,Vueling,nonstop,1h 15m,ORY,LHR,$201,Economy
2025-03-04,2025-03-05,2025-03-06,11:45 am – 2:05 pm,easyJet,nonstop,1h 20m,LTN,CDG,12:05 pm – 12:15 pm,Vueling,nonstop,1h 10m,ORY,LGW,$212,Economy
2025-03-04,2025-03-05,2025-03-06,3:15 pm – 5:45 pm,Vueling,nonstop,1h 30m,LHR,ORY,9:55 am – 10:15 am,easyJet,nonstop,1h 20m,CDG,LTN,$120,Economy
2025-03-04,2025-03-05,2025-03-06,3:15 pm – 5:45 pm,Vueling,nonstop,1h 30m,LHR,ORY,9:10 pm – 9:15 pm,easyJet,nonstop,1h 05m,CDG,LGW,$185,Economy
2025-03-04,2025-03-05,2025-03-06,11:45 am – 2:05 pm,easyJet,nonstop,1h 20m,LTN,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$222,Economy
2025-03-04,2025-03-05,2025-03-06,3:15 pm – 5:45 pm,Vueling,nonstop,1h 30m,LHR,ORY,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$143,Economy
2025-03-04,2025-03-05,2025-03-06,11:45 am – 2:05 pm,easyJet,nonstop,1h 20m,LTN,CDG,2:40 pm – 2:55 pm,easyJet,nonstop,1h 15m,CDG,LTN,$211,Economy
2025-03-04,2025-03-05,2025-03-06,7:55 am – 10:20 am,Vueling,nonstop,1h 25m,LGW,ORY,11:50 am – 12:05 pm,easyJet,nonstop,1h 15m,CDG,LTN,$203,Economy
2025-03-04,2025-03-05,2025-03-06,8:15 am – 10:35 am,easyJet,nonstop,1h 20m,LGW,CDG,5:40 pm – 5:45 pm,easyJet,nonstop,1h 05m,CDG,LGW,$229,Economy
2025-03-04,2025-03-05,2025-03-06,2:40 pm – 5:00 pm,easyJet,nonstop,1h 20m,LTN,CDG,6:15 pm – 6:20 pm,British Airways,nonstop,1h 05m,ORY,LGW,$197,Economy
2025-03-04,2025-03-05,2025-03-06,8:15 am – 10:35 am,easyJet,nonstop,1h 20m,LGW,CDG,7:20 am – 7:30 am,easyJet,nonstop,1h 10m,CDG,LGW,$222,Economy
2025-03-04,2025-03-05,2025-03-06,3:15 pm – 5:45 pm,Vueling,nonstop,1h 30m,LHR,ORY,2:40 pm – 2:55 pm,easyJet,nonstop,1h 15m,CDG,LTN,$139,Economy
2025-03-04,2025-03-05,2025-03-06,8:15 am – 10:35 am,easyJet,nonstop,1h 20m,LGW,CDG,10:05 am – 10:15 am,easyJet,nonstop,1h 10m,CDG,LGW,$222,Economy
2025-03-04,2025-03-05,2025-03-06,11:45 am – 2:05 pm,easyJet,nonstop,1h 20m,LTN,CDG,11:50 am – 12:05 pm,easyJet,nonstop,1h 15m,CDG,LTN,$217,Economy
2025-03-04,2025-03-05,2025-03-06,8:15 am – 10:35 am,easyJet,nonstop,1h 20m,LGW,CDG,6:15 pm – 6:20 pm,Vueling,nonstop,1h 05m,ORY,LGW,$232,Economy
2025-03-04,2025-03-05,2025-03-06,8:15 am – 10:35 am,easyJet,nonstop,1h 20m,LGW,CDG,4:35 pm – 4:40 pm,easyJet,nonstop,1h 05m,CDG,LGW,$237,Economy
2025-03-04,2025-03-05,2025-03-06,8:15 am – 10:35 am,easyJet,nonstop,1h 20m,LGW,CDG,2:10 pm – 2:25 pm,Vueling,nonstop,1h 15m,ORY,LHR,$221,Economy
