Snap Date,Dep Date,Return Date,Outbound,Dep Time,Dep Duration,Dep Arrival,From,Stops,Landing,Inbound,Back Time,Back Duration,Back Arrival,From,Stops,Landing,Price
2025-03-01,2025-03-06,2025-03-08,Outbound,15:15,1h 30m,17:45,LHR,Direct,ORY,Inbound,14:10,1h 15m,14:25,ORY,Direct,LHR,Vueling,₪ 392
2025-03-01,2025-03-06,2025-03-08,Outbound,15:15,1h 30m,17:45,LHR,Direct,ORY,Inbound,09:55,1h 20m,10:15,CDG,Direct,LTN,Vueling,₪ 398
2025-03-01,2025-03-06,2025-03-08,Outbound,15:15,1h 30m,17:45,LHR,Direct,ORY,Inbound,07:20,1h 10m,07:30,CDG,Direct,LGW,Vueling,₪ 405
2025-03-01,2025-03-06,2025-03-11,Outbound,15:15,1h 30m,17:45,LHR,Direct,ORY,Inbound,15:15,1h 10m,15:25,ORY,Direct,LGW,Vueling,₪ 364
2025-03-01,2025-03-06,2025-03-11,Outbound,15:15,1h 30m,17:45,LHR,Direct,ORY,Inbound,13:10,1h 10m,13:20,ORY,Direct,LGW,Vueling,₪ 364
2025-03-01,2025-03-06,2025-03-11,Outbound,15:15,1h 30m,17:45,LHR,Direct,ORY,Inbound,17:25,1h 05m,17:30,ORY,Direct,LGW,Vueling,₪ 376
2025-03-01,2025-03-07,2025-03-08,Outbound,20:15,1h 15m,22:30,LGW,Direct,ORY,Inbound,14:10,1h 15m,14:25,ORY,Direct,LHR,Vueling,₪ 489
2025-03-01,2025-03-07,2025-03-08,Outbound,20:15,1h 15m,22:30,LGW,Direct,ORY,Inbound,09:55,1h 20m,10:15,CDG,Direct,LTN,Vueling,₪ 495
2025-03-01,2025-03-07,2025-03-08,Outbound,20:15,1h 15m,22:30,LGW,Direct,ORY,Inbound,07:20,1h 10m,07:30,CDG,Direct,LGW,Vueling,₪ 513
2025-03-01,2025-03-07,2025-03-09,Outbound,20:15,1h 15m,22:30,LGW,Direct,ORY,Inbound,07:00,1h 20m,07:20,CDG,Direct,LTN,Vueling,₪ 513
2025-03-01,2025-03-07,2025-03-09,Outbound,15:15,1h 30m,17:45,LHR,Direct,ORY,Inbound,07:00,1h 20m,07:20,CDG,Direct,LTN,Vueling,₪ 540
2025-03-01,2025-03-07,2025-03-09,Outbound,20:15,1h 15m,22:30,LGW,Direct,ORY,Inbound,07:00,1h 10m,07:10,ORY,Direct,LGW,Vueling,₪ 556
2025-03-01,2025-03-07,2025-03-11,Outbound,20:15,1h 15m,22:30,LGW,Direct,ORY,Inbound,15:15,1h 10m,15:25,ORY,Direct,LGW,Vueling,₪ 455
2025-03-01,2025-03-07,2025-03-11,Outbound,20:15,1h 15m,22:30,LGW,Direct,ORY,Inbound,13:10,1h 10m,13:20,ORY,Direct,LGW,Vueling,₪ 455
2025-03-01,2025-03-07,2025-03-11,Outbound,20:15,1h 15m,22:30,LGW,Direct,ORY,Inbound,17:25,1h 05m,17:30,ORY,Direct,LGW,Vueling,₪ 473
2025-03-01,2025-03-08,2025-03-10,Outbound,15:15,1h 30m,17:45,LHR,Direct,ORY,Inbound,14:10,1h 15m,14:25,ORY,Direct,LHR,Vueling,₪ 404
